memory|geheugen
file|bestand
operating system|besturingssysteem
clipboard|klembord
hacker|cyberboef
application|toepassing
driver|stuurprogramma
font|lettertype
comment|commentaar
pixel|beeldschermpunt
spamming|e-mailreclame
RAM|werkgeheugen
router|dataverkeerregelaar
URL|webadres
vulnerability|veiligingslek
selfie|ikkie
label|etiket
database|databank
